,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Open Field/Arean Habitation ,,,,,,,,,,,,,,,,,,
Tag Number,Genotype,Sex,Birthdate,Test Date,Time In,Treatment type,Bucket type (old/new),Notes,Notes cont.,File Location on Drive ,,,,,,,,
444,HET,M,11/04/2024,03/17/2025,1332,ZN,OLD,,,,,,,,,,,
Novel Object | Familiarization Session,,,,,,,,,,,,,,,,,,
Tag Number,Genotype,Sex,Birthdate,Test Date,Time In,Treatment type,Toy,rest over @ ,Notes &/or Napari Labeled,Bucket type (old/new),Used in Training model,File Location on Drive ,Toy Generaor FAM,3,Pyramid,Toy Generaor NOV,3,Pyramid
257,HET,M,03/04/2024,09/05/2024,1312,CONTROL,diamonds,1422,,OLD,,,,,,,,
257,HET,M,03/04/2024,10/03/2024,1315,CONTROL,Silos,1425,ROA1425,NEW,,,,,,,,
257,HET,M,03/04/2024,10/30/2024,1330,CONTROL,silos,1440,,OLD,,,,,,,,
257,HET,M,03/04/2024,11/19/2024,1306,CONTROL,silos,1416,,OLD,,,,,,,,
259,KO,M,03/04/2024,09/05/2024,1323,CONTROL,pyramids,1433,,OLD,,,,,,,,
259,KO,M,03/04/2024,10/03/2024,1325,CONTROL,diamonds,1435,ROA1435,OLD,,,,,,,,
259,KO,M,03/04/2024,10/30/2024,1342,CONTROL,diamonds,1452,,NEW,,,,,,,,
259,KO,M,03/04/2024,11/19/2024,1305,CONTROL,pyramids,1415,,NEW,,,,,,,,
328,KO,M,5/15/24,11/13/2024,1330,CONTROL,pyramids,1440,,OLD,,,,,,,,
261,WT,F,03/11/2024,10/10/2024,1336,CONTROL,dimonds,1446,,OLD,,,,,,,,
261,WT,F,03/11/2024,11/07/2024,1300,CONTROL,Pyramids,1410,,OLD,,,,,,,,
263,HET,F,03/11/2024,10/10/2024,1313,CONTROL,silos,1423,,OLD,,,,,,,,
263,HET,F,03/11/2024,11/07/2024,1323,CONTROL,Pyramids,1433,,OLD,,,,,,,,
232,KO,F,2/19/2024,08/20/2024,1313,CONTROL,diamonds,1423,,OLD,,,,,,,,
232,KO,F,02/19/2024,09/17/2024,1343,CONTROL,pyramids,1453,,OLD,,,,,,,,
232,KO,F,02/19/2024,10/15/2024,1313,CONTROL,Pyramids,1423,,OLD,,,,,,,,
232,KO,F,2/19/24,11/13/2024,1319,CONTROL,silos,1429,,NEW,,,,,,,,
234,KO,F,2/19/2024,08/20/2024,1302,CONTROL,pyramids,1412,,OLD,,,,,,,,
234,KO,F,02/19/2024,09/17/2024,1354,CONTROL,diamonds,1504,,OLD,,,,,,,,
234,KO,F,02/19/2024,10/15/2024,1324,CONTROL,silos,1434,,NEW,,,,,,,,
234,KO,F,2/19/24,11/13/2024,1308,CONTROL,Pyramids,1418,,OLD,,,,,,,,
243,KO,F,03/08/2024,10/08/2024,1322,CONTROL,diamonds,1432,,OLD,,,,,,,,
243,KO,F,03/08/2024,11/05/2024,1313,CONTROL,silos,1423,,OLD,,,,,,,,
252,HET,F,03/04/2024,09/05/2024,1335,CONTROL,silos,1445,,OLD,,,,,,,,
252,HET,F,03/04/2024,10/03/2024,1303,CONTROL,Pyramids,,ROA1413,NEW,,,,,,,,
252,HET,F,03/04/2024,10/30/2024,1318,CONTROL,Pyramids,1428,,NEW,,,,,,,,
252,HET,F,03/04/2024,11/19/2024,1320,CONTROL,diamonds,1430,,OLD,,,,,,,,
429,HET,M,09/20/2024,11/05/2024,1326,CONTROL,Pyramids,1436,,NEW,,,,,,,,
428,KO ,M,9/20/2024,11/05/2024,1338,CONTROL,diamonds,1448,,NEW,,,,,,,,
262,HET,M,03/11/2024,10/10/2024,1325,CONTROL,Pyramids,1435,,NEW,,,,,,,,
262,HET,M,03/11/2024,11/07/2024,1312,CONTROL,silos,1422,,NEW,,,,,,,,
429,HET,M,9/20/2024,12/03/2024,1308,CONTROL,diamonds,1418,,new,,H:\ nov obj not labeled,,,,,,
428,KO,M,09/20/2024,12/03/2024,1320,CONTROL,Pyramids,1430,,new,,,,,,,,
243,KO,F,03/08/2024,12/03/2024,1332,CONTROL,silos,1442,,old,,,,,,,,
261,WT,F,03/11/2024,12/05/2024,1320,CONTROL,DIAMOND,1430,,NEW,,,,,,,,
262,HET,M,03/11/2024,12/05/2024,1320,CONTROL,SILOS,1430,,NEW,,,,,,,,
263,HET,F,03/11/2024,12/05/2024,1333,CONTROL,PYRAMIDS,1443,,OLD,,,,,,,,
328,KO,m,5/15/2024,12/12/2024,13:15,CONTROL,DIAMONDS,1425,,NEW,,,,,,,,
428,ko ,m,9/20/24,01/07/2024,1302,,diamond,1412,,old,,,,,,,,
429,het,m,9/20/24,01/07/2024,1302,,silo,1412,,new,,,,,,,,
328,KO,M,5/15/2024,1/9/2024,1335,CONTROL,silos,1445,,,,,,,,,,
428,ko ,m,9/20/24,02/04/2025,13:54,CONTROL,dimonds,1506,,old,,,,,,,,
429,het,m,9/20/24,02/04/2025,1355,CONTROL,silos,1506,,old,,,,,,,,
Toy Generaor FAM,3,Pyramid,,,Toy Generaor NOV,2,Diamond,,,OLD,,,,,,,,
328,KO,M,05/15/2024,02/06/2025,1325,CONTROL,PYRAMID,1435,,NEW,,,,,,,,
444,HET,M,11/04/2024,02/11/2025,1330,ZN,silo,1440,,,,,,,,,,
445,KO,M,11/04/2024,02/11/2025,1330,D-PEN,dimonds,1440,,old,,,,,,,,
444,HET,M,11/04/2024,03/18/2025,1328,ZN,pyramids,1428,,old,,,,,,,,
Novel Object | Recognition Session,,,,,,,,,,,,,,,,,,
Tag Number,Genotype,Sex,Birthdate,Test Date,Time In,Treatment type,Toys,Novel object side (L/R),Notes,Bucket type (old/new),Napari Labled,Used in Training model,Used in Validating model,,,,,
257,HET,M,03/04/2024,09/05/2024,1422,CONTROL,diamond + silo,,,OLD,,,,,,,,
257,HET,M,03/04/2024,10/03/2024,1426,CONTROL,silo + pyramid,RIGHT,,NEW,,,,,,,,
257,HET,M,03/04/2024,10/30/2024,1450,CONTROL,silo + diamond,LEFT,bumped bucket out of alignment on drop,OLD,,,,,,,,
257,HET,M,03/04/2024,11/19/2024,1416,CONTROL,pyramid + Silo,,saw fam but no rec recording ?,OLD,,,,,,,,
259,KO,M,03/04/2024,09/05/2024,1433,CONTROL,pyramid + diamond,,,OLD,,,,,,,,
259,KO,M,03/04/2024,10/03/2024,1437,CONTROL,diamond + pyramid,RIGHT,,OLD,,,,,,,,
259,KO,M,03/04/2024,10/30/2024,1502,CONTROL,diamond + pyramid,RIGHT,,N/A,,,,,,,,
259,KO,M,03/04/2024,11/19/2024,1415,CONTROL,pyramid + Silo,,,NEW,,,,,,,,
328,KO,M,5/15/24,11/13/2024,1440,CONTROL,pyramid + Silo,RIGHT,,OLD,,,,,,,,
261,WT,F,03/11/2024,10/10/2024,1448,CONTROL,dimond + silo,LEFT,,OLD,,,,,,,,
261,WT,F,03/11/2024,11/07/2024,1415,CONTROL,silo + pyramid,RIGHT,Schaefer pls check my call on this one!!,NEW,,,,,,,,
252,HET,F,03/04/2024,09/05/2024,1445,CONTROL,silo + pyramid,,,OLD,,,,,,,,
252,HET,F,03/04/2024,10/03/2024,1413,CONTROL,Pyramid + silo ,RIGHT,,NEW,,,,,,,,
252,HET,F,03/04/2024,10/30/2024,1438,CONTROL,Pyramid + silo,LEFT,,NEW,,,,,,,,
252,HET,F,03/04/2024,11/19/2024,1430,CONTROL,pyramid + diamond,,,OLD,,,,,,,,
263,HET,F,03/11/2024,10/10/2024,1423,CONTROL,silo + pyramid,RIGHT,,NEW,,,,,,,,
263,HET,F,03/11/2024,11/07/2024,1440,CONTROL,silo + pyramid,,,NEW,,,,,,,,
232,KO,F,2/19/2024,08/20/2024,1423,CONTROL,diamond + silo,,,OLD,,,,,,,,
232,KO,F,02/19/2024,09/17/2024,1455,CONTROL,pyramids + silo,RIGHT,,OLD,,,,,,,,
232,KO,F,02/19/2024,10/15/2024,1426,CONTROL,pyramid + silo,RIGHT,,OLD,,,,,,,,
232,KO,F,2/19/24,11/13/2024,1429,CONTROL,pyramid + Silo,LEFT,,NEW,,,,,,,,
234,KO,F,2/19/2024,08/20/2024,1412,CONTROL,pyramid + diamond,,,OLD,,,,,,,,
234,KO,F,02/19/2024,09/17/2024,1506,CONTROL,diamonds + silo,LEFT,,OLD,,,,,,,,
234,KO,F,02/19/2024,10/15/2024,1439,CONTROL,silo + pyramid,RIGHT,,NEW,,,,,,,,
234,KO,F,2/19/24,11/13/2024,1418,CONTROL,pyramid + Silo,LEFT,,OLD,,,,,,,,
243,KO,F,03/08/2024,10/08/2024,1433,CONTROL,diamond + pyramid,RIGHT,,OLD,,,,,,,,
243,KO,F,03/08/2024,11/05/2024,1442,CONTROL,silo + pyramid,RIGHT,,N/A,,,,,,,,
429,HET,M,09/20/2024,11/05/2024,1457,CONTROL,Pyramid + diamond,RIGHT,,N/A,,,,,,,,
428,KO ,M,9/20/2024,11/05/2024,1511,CONTROL,diamond + silo,RIGHT,,N/A,,,,,,,,
262,HET,M,03/11/2024,10/10/2024,1435,CONTROL,pyramid + dimond,RIGHT,,OLD,,,,,,,,
262,HET,M,03/11/2024,11/07/2024,1427,CONTROL,silo + pyramid,,,OLD,,,,,,,,
429,HET,M,9/20/2024,12/03/2024,1420,CONTROL,diamond + silo,RIGHT,,OLD,,,,,,,,
428,KO,M,09/20/2024,12/03/2024,1433,CONTROL,Pyramid + diamond,RIGHT,,NEW,,,,,,,,
243,KO,F,03/08/2024,12/03/2024,1447,CONTROL,silo + pyramid,LEFT,,OLD,,,,,,,,
,,,,,,,,,,,,,,,,,,
261,WT,F,03/11/2024,12/05/2024,1430,CONTROL,Diamond+Silo,right,,OLD,,,,,,,,
262,HET,M,03/11/2024,12/05/2024,1430,CONTROL,Silo + Pyramid ,right,,NEW,,,,,,,,
263,HET,F,03/11/2024,12/05/2024,1443,CONTROL,Pyramid + Diamond ,right,,NEW,,,,,,,,
328,KO,m,5/15/2024,12/12/2024,1427,CONTROL,Silo+Dimond,right,,OLD,,,,,,,,
428,ko ,m,9/20/24,01/07/2024,1412,,diamond+pyramid,right,,new,,,,,,,,
429,het,m,9/20/24,01/07/2024,1412,,silo+pyramid,left,,old,,,,,,,,
328,KO,M,5/15/2024,1/9/2024,1447,CONTROL,silo + diamond,Left,,,,,,,,,,
428,ko ,m,9/20/24,02/04/2025,1506,CONTROL,Dimond+pyramid,right,,NEW,,,,,,,,
429,het,m,9/20/24,02/04/2025,1506,CONTROL,silo + diamond,left,,NEW,,,,,,,,
328,KO,M,05/15/2024,02/06/2025,1435,CONTROL,silo + pyramid ,Right,,OLD,,,,,,,,
444,HET,M,11/04/2024,02/11/2025,1440,ZN,silo+pyramid ,right,,OLD,,,,,,,,
445,KO,M,11/04/2024,02/11/2025,1440,D-PEN,dimond+pyramid,right,,NEW,,,,,,,,
444,HET,M,11/04/2024,03/18/2025,1428,ZN,pyramid+diamond,right,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Elevated Zero Maze ,,,,,,,,,,,,,,,,,,
Tag Number,Genotype,Sex,Birthdate,Test Date,Time In,Treatment type,Notes,Notes cont.,File Location on Drive,,,,,,,,,
257,HET,M,03/04/2024,10/04/2024,1310,CONTROL,,,,,,,,,,,,
257,HET,M,3/4/24,11/20/2024,1330,CONTROL,,,,,,,,,,,,
259,KO,M,03/04/2024,10/04/2024,1317,CONTROL,,,,,,,,,,,,
259,KO,M,3/4/24,11/20/2024,1338,CONTROL,,,,,,,,,,,,
328,KO,M,5/15/24,11/14/2024,1320,CONTROL,,FELL OFF 40S IN (PLACED BACK ON) ,,,,,,,,,,
261,WT,F,03/11/2024,09/14/2024,1348,CONTROL,,,,,,,,,,,,
261,WT,F,03/11/2024,11/08/2024,1336,CONTROL,,,,,,,,,,,,
252,HET,F,03/04/2024,10/04/2024,1301,CONTROL,,,,,,,,,,,,
252,HET,F,3/4/24,11/20/2024,1322,CONTROL,,,,,,,,,,,,
263,HET,F,03/11/2024,09/14/2024,1410,CONTROL,,,,,,,,,,,,
263,HET,F,03/11/2024,11/08/2024,1326,CONTROL,,,,,,,,,,,,
232,KO,F,2/19/2024,08/20/2024,1610,CONTROL,,,,,,,,,,,,
232,KO,F,2/19/2024,09/18/2024,1450,CONTROL,VIDEO WENT OVER ,,,,,,,,,,,
232,KO,F,02/19/2024,10/16/2024,1515,CONTROL,,,,,,,,,,,,
232,KO,F,2/19/24,11/14/2024,1300,CONTROL,,,,,,,,,,,,
234,KO,F,2/19/2024,08/20/2024,1602,CONTROL,,,,,,,,,,,,
234,KO,F,2/19/2024,09/18/2024,1457,CONTROL,vid started late,,,,,,,,,,,
234,KO,F,02/19/2024,10/16/2024,1522,CONTROL,,,,,,,,,,,,
234,KO,F,2/19/24,11/14/2024,1310,CONTROL,,,,,,,,,,,,
243,KO,F,03/08/2024,10/09/2024,1445,CONTROL,,,,,,,,,,,,
243,KO,F,03/08/2024,11/05/2024,1441,CONTROL,,,,,,,,,,,,
429,HET,M,09/20/2024,11/05/2024,1449,CONTROL,,,,,,,,,,,,
428,KO ,M,9/20/2024,11/05/2024,1456,CONTROL,,accidentally cut video early (sorry),,,,,,,,,,
262,HET,M,03/11/2024,09/14/2024,1359,CONTROL,,,,,,,,,,,,
262,HET,M,03/11/2024,11/08/2024,1315,CONTROL,,,,,,,,,,,,
428,KO,M,09/20/2024,12/04/2024,1322,CONTROL,,placed with incorrect orientaion,,,,,,,,,,
429,HET,M,09/20/2024,12/04/2024,1329,CONTROL,grabby,,,,,,,,,,,
243,KO,F,03/08/2024,12/04/2024,1314,CONTROL,,,,,,,,,,,,
263,HET,F,03/11/2024,12/06/2024,1321,CONTROL,,,,,,,,,,,,
262,HET,M,03/11/2024,12/06/2024,1330,CONTROL,,,,,,,,,,,,
261,WT,F,03/11/2024,12/06/2024,1339,CONTROL,,,,,,,,,,,,
328,,,,12/13/2024,1316,CONTROL,,,,,,,,,,,,
428,KO,M,9/20/24,01/08/2025,1420,CONTROL,,,,,,,,,,,,
429,HET,M,9/20/24,01/08/2025,1432,CONTROL,,,,,,,,,,,,
328,KO,M,5/15/2024,01/10/2025,1317,CONTROL,,,,,,,,,,,,
429,HET,M,9/20/24,02/05/2025,1300,CONTROL,,,,,,,,,,,,
428,KO,M,9/20/24,02/05/2025,1306,CONTROL,,,,,,,,,,,,
328,KO,M,05/15/2024,02/07/2025,1313,CONTROL,,,,,,,,,,,,
444,HET,M,11/04/2024,02/12/2025,1300,ZN,,,,,,,,,,,,
445,KO,M,11/04/2024,02/12/2025,1310,D-PEN,,,,,,,,,,,,
Rota Rod,,,,,,,,,,,,,,,,,,
Tag Number,Genotype,Gender,Birthdate,Test Date,Attempt 1 Time (sec),Attempt 1 Speed (rpm),Attempt 2 Time,Attempt 2 Speed,Attempt 3 Time,Attempt 3 Speed,,Notes,,,,,,
257,HET,M,03/04/2024,10/04/2024,24,17,19,14,18,13,,,,,,,,
257,HET,M,3/4/24,11/20/2024,25,18,22,16,24,17,,,,,,,,
259,KO,M,03/04/2024,10/04/2024,16,12,6,6,10,8,,,,,,,,
259,KO,M,3/4/24,11/20/2024,13,10,23,17,18,14,,,,,,,,
328,KO,m,5/15/24,11/14/2024,14,11,12,9,5,5,,"ran 4 (fell and caught self in ninja warrior move between the walls and shuffled there, already subtracted that outlier) ",,,,,,
261,WT,F,03/11/2024,09/14/2024,16,12,8,7,18,13,,,,,,,,
261,WT,F,03/11/2024,11/08/2024,15,12,23,17,15,12,,,,,,,,
252,HET,F,03/04/2024,10/04/2024,9,8,22,16,36,25,,,,,,,,
252,HET,F,3/4/24,11/20/2024,25,18,24,17,36,25,,,,,,,,
263,HET,F,03/11/2024,09/14/2024,7,7,5,5,4,5,,,,,,,,
263,HET,F,03/11/2024,11/08/2024,20,14,13,10,14,11,,,,,,,,
232,KO,F,2/19/2024,08/20/2024,16,12,13,10,25,18,,,,,,,,
232,KO,F,,09/18/2024,31,22,50,34,37,25,,,,,,,,
232,KO,F,02/19/2024,10/16/2024,39,27,37,26,35,24,,,,,,,,
232,KO,F,2/19/24,11/14/2024,40,28,46,31,48,33,,,,,,,,
234,KO,F,2/19/2024,08/20/2024,18,13,22,16,22,16,,,,,,,,
234,KO,F,02/19/2024,09/18/2024,21,15,17,13,20,15,,,,,,,,
234,KO,F,02/19/2024,10/16/2024,9,8,28,20,17,13,,,,,,,,
234,KO,F,2/19/24,11/14/2024,27,19,25,18,16,12,,,,,,,,
243,KO,F,03/08/2024,10/09/2024,5,5,8,7,6,6,,,,,,,,
243,KO,F,03/08/2024,11/05/2024,4,5,9,7,4,4,,,,,,,,
429,HET,M,09/20/2024,11/05/2024,11,9,12,9,13,10,,,,,,,,
428,KO ,M,9/20/2024,11/05/2024,9,8,20,15,19,14,,,,,,,,
262,HET,M,03/11/2024,09/14/2024,10,8,8,7,21,15,,did a full 360 degrees,,,,,,
262,HET,M,03/11/2024,11/08/2024,9,8,5,5,16,12,,,,,,,,
243,KO,F,03/08/2024,12/04/2024,11,5,9,8,3,4,,,,,,,,
428,KO,M,09/20/2024,12/04/2024,22,16,12,10,31,21,,,,,,,,
429,HET,M,09/20/2024,12/04/2024,11,9,20,15,21,15,,,,,,,,
263,HET,F,03/11/2024,12/06/2024,24,17,23,16,21,15,,,,,,,,
262,HET,M,03/11/2024,12/06/2024,8,7,13,10,16,12,,,,,,,,
261,WT,F,03/11/2024,12/06/2024,18,13,17,13,23,17,,,,,,,,
328,,,,,,,,,,,,,,,,,,
328,KO,m,5/15/2024,12/13/2024,24,17,25,18,25,18,,,,,,,,
428,KO,M,9/20/24,01/08/2025,338,26,31,22,40,28,,,,,,,,
429,HET,M,9/20/24,01/08/2025,18,13,21,15,8,7,,,,,,,,
328,KO,M,5/15/2024,01/10/2025,19,14,24,17,21,15,,,,,,,,
429,HET,M,9/20/24,02/05/2025,19,14,15,12,15,12,,,,,,,,
428,KO,M,9/20/24,02/05/2025,40,27,38,26,39,26,,,,,,,,
328,KO,M,05/15/2024,02/07/2025,25,18,31,22,37,26,,,,,,,,
444,HET,M,11/04/2024,02/12/2025,21,15,24,17,14,11,,,,,,,,
445,KO,M,11/04/2024,02/12/2025,29,20,21,15,36,24,,ran a test run on A 3 second 4 speed. used A for third attempt and subtracted 3 from the time and speed. First attempt was on B,,,,,,
