mising data? see here!,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Open Field/Arean Habitation ,,,,,,,,,,,,,,,
Tag Number,Genotype,Sex,Birthdate,Test Date,Time In,Treatment type,Bucket type (old/new),Notes,Notes cont.,File Location on Drive ,,,,,
692,WT,M,06/08/2023,07/25/2023,1302,CONTROL,pyramids,,,OLD,,5 unprocessed animals at T1 fam+nor ,49,7,
689,KO,M,06/09/2023,07/25/2023,1315,CONTROL,silos,,,OLD,,5 unprocessed animals at T1 fam+nor ,47,7,
691,WT,F,06/08/2023,07/25/2023,1327,CONTROL,diamonds,,,OLD,,5 unprocessed animals at T1 fam+nor ,46,7,
690,WT,F,06/08/2023,07/25/2023,1338,CONTROL,pyramids,,,OLD,,5 unprocessed animals at T1 fam+nor ,47,7,
698,WT,F,06/08/2023,07/25/2023,1349,CONTROL,diamonds,,,OLD,,5 unprocessed animals at T1 fam+nor ,47,7,
981,KO,F,05/30/2023,08/10/2023,1301,CONTROL,pyramids,,,OLD,,videos,47,7,
974,HET,M,05/28/2023,08/10/2023,1314,CONTROL,diamonds,,,OLD,,videos,72,10,
973,KO,M,05/28/2023,08/10/2023,1327,CONTROL,silos,,,OLD,,videos,74,11,
985,HET,M,05/30/2023,08/16/2023,1302,CONTROL,silos,,,OLD,,,74,11,
995,HET,M,05/30/2023,08/16/2023,1314,CONTROL,pyramids,,,OLD,,,78,11,
990,WT,F,5/28/23,08/16/2023,1327,CONTROL,diamonds,,,OLD,,,78,11,
977,HET,F,05/28/2023,08/16/2023,1338,CONTROL,silos,,,OLD,,,80,11,
976,WT,F,05/28/2023,08/16/2023,1350,CONTROL,pyramids,,,OLD,,,80,11,
692,WT,M,06/08/2023,08/22/2023,1300,CONTROL,diamonds,,,OLD,,,80,11,
689,KO,M,06/09/2023,08/22/2023,1311,CONTROL,silos,,,OLD,,,75,11,added to NOR2 for moel training
690,WT,F,06/08/2023,08/22/2023,1323,CONTROL,diamonds,,,OLD,,,74,11,
698,WT,F,06/08/2023,08/22/2023,1335,CONTROL,pyramids,,,OLD,,,75,11,
691,WT,F,06/08/2023,08/22/2023,1346,CONTROL,silos,,,OLD,,,75,11,
981,KO,F,05/30/2023,09/06/2023,1315,CONTROL,pyramids,,turned on microscopy light. i think a bulb went out?,OLD,,,75,11,
56,KO,M,05/28/2023,09/06/2023,1326,CONTROL,diamonds,,,OLD,,,99,14,
974,HET,M,05/28/2023,09/06/2023,1336,CONTROL,silos,,,OLD,,,101,14,
995,HET,M,05/30/2023,9/13/2023,1319,CONTROL,pyramids,,,OLD,,,101,14,
985,HET,M,05/30/2023,9/13/2023,1331,CONTROL,silos,,,OLD,,,106,15,
977,HET,F,05/28/2023,9/13/2023,1345,CONTROL,diamonds,,,OLD,,,106,15,
976,WT,F,05/28/2023,9/13/2023,1358,CONTROL,silos,,,OLD,,,108,15,
990,WT,F,5/28/23,9/13/2023,1411,CONTROL,pyramids,,,OLD,,,108,15,
690,WT,F,06/08/2023,09/21/2023,1301,CONTROL,pyramids,,,OLD,,,108,15,
691,WT,F,06/08/2023,09/21/2023,1312,CONTROL,diamonds,,,OLD,,,105,15,
698,WT,F,06/08/2023,09/21/2023,1323,CONTROL,silos,,,OLD,,,105,15,
692,WT,M,06/08/2023,09/21/2023,1334,CONTROL,diamonds,,,OLD,,,105,15,
689,KO,M,06/09/2023,09/21/2023,1345,CONTROL,pyramids,,,OLD,,,105,15,
56,KO,M,5/28/2023,10/05/2023,1300,CONTROL,silos,,,OLD,,,104,15,
974,HET,M,05/28/2023,10/05/2023,1311,CONTROL,pyramids,,,OLD,,,130,19,
981,KO,F,5/30/2023,10/05/2023,1322,CONTROL,diamonds,,,OLD,,,130,19,
995,HET,M,05/30/2023,10/12/2023,1317,CONTROL,diamonds,,Video ran 10:46,OLD,,,128,18,
990,WT,F,05/08/2023,10/12/2023,1332,CONTROL,pyramids,,,OLD,,,135,19,
977,HET,F,05/28/2023,10/12/2023,1344,CONTROL,silos,,,OLD,,,157,22,
976,WT,F,05/28/2023,10/12/2023,1358,CONTROL,diamonds,,,OLD,,,137,20,
690,WT,F,06/08/2023,10/19/2023,1303,CONTROL,silos,1413,,OLD,,,137,20,
691,WT,F,06/08/2023,10/19/2023,1315,CONTROL,pyramids,1425,,OLD,,,133,19,
698,WT,F,06/09/2023,10/19/2023,1326,CONTROL,diamonds,1436,,OLD,,,133,19,
692,WT,M,06/08/2023,10/19/2023,1337,CONTROL,pyramids,1447,,OLD,,,132,19,
689,KO,M,06/09/2023,10/19/2023,1349,CONTROL,silos,1459,,OLD,,,133,19,
159,WT,F,10/16/2023,11/21/2023,1324,CONTROL,silos,1334,,OLD,,,132,19,
161,WT,M,10/16/2023,11/21/2023,1336,CONTROL,pyramids,1346,,OLD,,,36,5,
159,WT,F,10/16/2023,12/19/2023,1338,CONTROL,pyramids,1348,"video was out of focus, small poop and pee  observed",OLD,,,36,5,
161,WT,M,10/16/2023,12/19/2023,1352,CONTROL,silos,1402,,OLD,,,64,9,
159,WT,F,10/16/2023,1/18/2024,1343,CONTROL,pyramids,1353,,OLD,,,64,9,
161,WT,M,10/16/2023,1/18/2024,1357,CONTROL,silos,1407,,OLD,,,94,13,
159,WT,F,10/16/2023,2/15/2024,1300,CONTROL,silos,1310,,OLD,,,94,13,
161,WT,M,10/16/2023,2/15/2024,1313,CONTROL,diamonds,1323,,OLD,,,122,17,
214,KO,M,01/03/2024,02/22/2024,1343,CONTROL,diamonds,,,OLD,,,122,17,
215,WT,M,01/03/2024,02/22/2024,1304,CONTROL,diamonds,1314,,OLD,,,50,7,
217,KO,M,01/03/2024,02/22/2024,1317,CONTROL,pyramids,1327,video ran 10:15,OLD,,,50,7,
218,WT,M,01/03/2024,02/22/2024,1329,CONTROL,silos,1339,,OLD,,,50,7,
214,KO,M,01/03/2024,03/21/2024,1330,CONTROL,diamonds,1450,,OLD,,,50,7,
215,WT,M,01/03/2024,03/21/2024,1341,CONTROL,pyramids,1502,,OLD,,,78,11,
217,KO,M,01/03/2024,03/21/2024,1355,CONTROL,silos,1513,,OLD,,,78,11,
218,WT,M,01/03/2024,03/21/2024,1410,CONTROL,diamonds,1524,,OLD,,,78,11,
166,WT,F,10/31/2024,04/04/2024,1321,CONTROL,pyramids,1431,,OLD,,videos,78,11,
165,HET,F,10/31/2024,04/04/2024,1334,CONTROL,silos,1444,,OLD,,videos,#NUM!,#NUM!,
179,WT,M,11/07/2024,04/11/2024,1322,CONTROL,silos,,,OLD,,,#NUM!,#NUM!,
181,WT,M,11/07/2024,04/11/2024,1334,CONTROL,pyramids,,,OLD,,,#NUM!,#NUM!,
189,HET,M,11/07/2024,04/11/2024,1357,CONTROL,pyramids,,,OLD,,,#NUM!,#NUM!,
187,WT,M,11/07/2024,04/11/2024,1344,CONTROL,silos,,,OLD,,,#NUM!,#NUM!,
218,WT,M,01/03/2024,04/18/2024,1303,CONTROL,silos,1413,,OLD,,,#NUM!,#NUM!,
215,WT,M,01/03/2024,04/18/2024,1314,CONTROL,diamonds,1424,,OLD,,,106,15,
214,KO,M,01/03/2024,04/18/2024,1325,CONTROL,silos,1435,,OLD,,,106,15,
217,KO,M,01/03/2024,04/18/2024,1336,CONTROL,pyramids,1446,,OLD,,,106,15,
165,HET,F,10/30/2023,04/30/2024,1307,CONTROL,pyramids,1417,,OLD,,,106,15,
166,WT,F,10/30/2023,04/30/2024,1319,CONTROL,silos,1429,,OLD,,,183,26,
187,WT,M,11/9/2023,05/09/2024,1329,CONTROL,silos,1339,,OLD,,,183,26,
189,HET,M,11/9/2023,05/09/2024,1315,CONTROL,pyramids,1325,,OLD,,,182,26,
179,WT,M,11/7/2023,05/09/2024,1341,CONTROL,pyramids,1351,,OLD,,,182,26,
181,WT,M,11/7/2023,05/02/2024,1353,CONTROL,Silos,1403,,OLD,,,184,26,
215,WT,M,01/03/2024,05/16/2024,1313,CONTROL,pyramids,1323,,OLD,stored in Local Disk (D:),,177,25,
218,WT,M,01/03/2024,05/16/2024,1325,CONTROL,diamonds,1335,,OLD,stored in Local Disk (D:),,134,19,
217,KO,M,01/03/2024,05/16/2024,1301,CONTROL,diamonds,1311,,OLD,stored in Local Disk (D:),,134,19,
165,HET,F,10/30/2024,05/30/2024,1306,CONTROL,silos,1416,,OLD,Expansion (H:),,134,19,
166,WT,F,10/30/2024,05/30/2024,1317,CONTROL,diamonds,1427,barberig noted,OLD,Expansion (H:),,#NUM!,#NUM!,
187,WT,M,11/9/2023,06/06/2024,1301,CONTROL,pyramids,1312,Time went over by 50 seconds,OLD,,,#NUM!,#NUM!,
189,HET,M,11/9/2023,06/06/2024,1313,CONTROL,diamonds,1324,,OLD,,,210,30,
179,WT,M,11/7/2023,06/06/2024,1325,CONTROL,pyramids,1335,,OLD,,,210,30,
181,WT,M,11/7/2023,06/06/2024,1336,CONTROL,diamonds,1346,,OLD,,,212,30,
297,KO,M,04/23/2024,06/06/2024,1349,CONTROL,pyramids,1359,,OLD,,,212,30,
166,WT,F,10/31/2024,06/27/2024,1309,CONTROL,pyramids,1419,,OLD,,,,,
165,HET,F,10/31/2024,6/27/2024,1322,CONTROL,silos,1432,,OLD,,,,,
179,WT,M,11/07/2023,07/02/2024,1325,CONTROL,pyramids,1435,,OLD,,,,,
181,WT,M,11/07/2023,07/02/2024,1336,CONTROL,diamonds,1446,,OLD,,,,,
189,HET,M,11/09/2023,07/02/2024,1347,CONTROL,silos,1457,,OLD,,,,,
187,WT,M,11/9/2023,07/02/2024,,CONTROL,pyramids,1508,,OLD,,,,,
297,KO,M,4/23/2024,07/11/2024,1315,CONTROL,silos,1425,"accidentally started run on AzureKinect (about a minute). Aborted run, gave mouse ~5min rest, and restarted on Logi w/ new basket + different objects",OLD,"stored in H drive, also kept the Logitech video in the folder in case interested. Video may have some error as the recording was stopped prematurely",,,,
331,KO,F,06/12/2024,07/23/2024,1320,CONTROL,silos,1430,,OLD,,,,,
333,KO,F,06/12/2024,07/23/2024,1332,CONTROL,pyramids,1442,,OLD,,,,,
355,KO,M,06/13/2024,07/25/2024,1301,CONTROL,diamonds,1411,,OLD,,,,,
369,KO,M,06/12/2024,07/25/2024,1312,CONTROL,silos,1422,,OLD,,,,,
337,HET,M,06/12/2024,07/25/2024,1324,CONTROL,pyramids,1434,,OLD,,,,,
358,KO,M,06/13/2024,07/25/2024,1335,CONTROL,diamonds,1445,,OLD,,,,,
357,,,06/13/2024,07/25/2024,1346,CONTROL,pyramids,1456,,OLD,,,,,
297,KO,M,04/23/2024,08/01/2024,1327,CONTROL,pyramids,1437,,OLD,,,,,
331,KO,F,06/12/2024,08/20/2024,1324,CONTROL,silos,1434,,OLD,,,,,
333,KO,F,06/12/2024,08/20/2024,1336,CONTROL,pyramids,1446,,OLD,,,,,
357,KO,F,06/13/2024,08/22/2024,1301,CONTROL,pyramids,1411,,OLD,,,,,
358,KO,F,06/13/2024,08/22/2024,1313,CONTROL,diamonds,1423,,OLD,,,,,
337,HET,M,06/12/2024,08/22/2024,1324,CONTROL,silos,1434,,OLD,,,,,
355,KO,M,06/13/2024,08/22/2024,1335,CONTROL,diamonds,1445,,OLD,,,,,
369,KO,M,06/12/2024,08/22/2024,1346,CONTROL,pyramids,1456,,OLD,,,,,
297,KO,M,4/23/2024,08/29/2024,1402,CONTROL,silos,,,OLD,,,,,
333,KO,F,06/12/2024,09/17/2024,1320,CONTROL,diamonds,1430,,OLD,,,,,
331,KO,F,06/12/2024,09/17/2024,1332,CONTROL,silos,1442,,OLD,,,,,
355,KO,M,06/13/2024,09/19/2024,1356,CONTROL,pyramids,,,OLD,,,,,
369,KO,M,06/12/2024,09/19/2024,1342,CONTROL,silos,,,OLD,,,,,
337,HET,M,06/12/2024,09/19/2024,1330,CONTROL,pyramids,,,OLD,,,,,
358,KO,M,06/13/2024,09/19/2024,1306,CONTROL,pyramids,,,OLD,,,,,
357,KO,M,06/13/2024,09/19/2024,1319,CONTROL,Silos,,,OLD,,,,,
331,KO,F,06/12/2024,10/15/2024,1336,CONTROL,diamonds,1446,,OLD,,,,,
333,KO,F,06/12/2024,10/15/2024,1348,CONTROL,Pyramids,1458,,NEW,,,,,
358,KO,M,06/03/2024,10/17/2024,1310,CONTROL,silos,1420,,OLD,,,,,
357,KO,M,06/03/2024,10/17/2024,1321,CONTROL,Pyramids,1431,,OLD,,,,,
444,HET,M,11/04/2024,12/17/2024,1302,ZN,diamonds,1412,,OLD,,,,,
445,KO,F,11/04/2024,12/17/2024,1314,D-PEN,silos,1424,,NEW,,,,,
445,KO,M,11/04/2024,01/14/2025,1318,D-PEN,Pyramids,1428,,NEW,,,,,
444,HET,M,11/04/2024,01/14/2025,1329,ZN,diamonds,1439,,OLD,,,,,
